threshold,f1,precision,recall
0.0,0.09276089000313381,0.04863621426224121,1.0
0.005,0.0930817610062893,0.048812664907651716,1.0
0.01,0.10309996516893069,0.05435181784796181,1.0
0.015,0.11854225070084101,0.06300553426990209,1.0
0.02,0.13375508359692725,0.07167070217917676,1.0
0.025,0.14251090644692196,0.07676240208877284,0.9932432432432432
0.03,0.14989733059548255,0.0811111111111111,0.9864864864864865
0.035,0.15467239527389903,0.08401400233372229,0.972972972972973
0.04,0.16089385474860335,0.0876979293544458,0.972972972972973
0.045,0.16753926701570682,0.0916613621896881,0.972972972972973
0.05,0.17349397590361446,0.09523809523809523,0.972972972972973
0.055,0.1775,0.09779614325068871,0.9594594594594594
0.06,0.1834625322997416,0.10142857142857142,0.9594594594594594
0.065,0.18820410868124585,0.10433504775900074,0.9594594594594594
0.07,0.19465387251542152,0.10831426392067124,0.9594594594594594
0.075,0.1977401129943503,0.11041009463722397,0.9459459459459459
0.08,0.19797687861271676,0.11084142394822007,0.9256756756756757
0.085,0.19821162444113263,0.11139028475711893,0.8986486486486487
0.09,0.2001527883880825,0.11283376399655469,0.8851351351351351
0.095,0.20581304006284368,0.11644444444444445,0.8851351351351351
0.1,0.211802748585287,0.12029384756657484,0.8851351351351351
0.105,0.21541010770505387,0.12275731822474033,0.8783783783783784
0.11,0.2182741116751269,0.12475822050290135,0.8716216216216216
0.115,0.22107081174438686,0.12673267326732673,0.8648648648648649
0.12,0.22436459246275198,0.12890231621349446,0.8648648648648649
0.125,0.22540250447227192,0.12989690721649486,0.8513513513513513
0.13,0.22971741112123975,0.1327713382507903,0.8513513513513513
0.135,0.2344186046511628,0.13592233009708737,0.8513513513513513
0.14,0.23741690408357075,0.13812154696132597,0.8445945945945946
0.145,0.24242424242424243,0.1417142857142857,0.8378378378378378
0.15,0.24356435643564356,0.14269141531322505,0.831081081081081
0.155,0.24646464646464647,0.14489311163895488,0.8243243243243243
0.16,0.25077081192189105,0.1478787878787879,0.8243243243243243
0.165,0.2554973821989529,0.15117719950433706,0.8243243243243243
0.17,0.2606837606837607,0.1548223350253807,0.8243243243243243
0.17500000000000002,0.2619047619047619,0.1559278350515464,0.8175675675675675
0.18,0.2636165577342048,0.15714285714285714,0.8175675675675675
0.185,0.2676991150442478,0.16005291005291006,0.8175675675675675
0.19,0.27039106145251396,0.16198125836680052,0.8175675675675675
0.195,0.273972602739726,0.16483516483516483,0.8108108108108109
0.2,0.2774566473988439,0.16736401673640167,0.8108108108108109
0.20500000000000002,0.28004667444574094,0.1692524682651622,0.8108108108108109
0.21,0.2833530106257379,0.17167381974248927,0.8108108108108109
0.215,0.28365384615384615,0.17251461988304093,0.7972972972972973
0.22,0.2874543239951279,0.17533432392273401,0.7972972972972973
0.225,0.2903225806451613,0.1778115501519757,0.7905405405405406
0.23,0.2936010037641154,0.1802773497688752,0.7905405405405406
0.23500000000000001,0.2965779467680608,0.18252730109204368,0.7905405405405406
0.24,0.3,0.185126582278481,0.7905405405405406
0.245,0.3020833333333333,0.1870967741935484,0.7837837837837838
0.25,0.30647291941875826,0.19047619047619047,0.7837837837837838
0.255,0.30892143808255657,0.19237147595356552,0.7837837837837838
0.26,0.31140939597315437,0.19430485762144054,0.7837837837837838
0.265,0.3112313937753721,0.19458544839255498,0.777027027027027
0.27,0.31550068587105623,0.19793459552495696,0.777027027027027
0.275,0.31767955801104975,0.1996527777777778,0.777027027027027
0.28,0.3234880450070324,0.20426287744227353,0.777027027027027
0.28500000000000003,0.3261802575107296,0.20689655172413793,0.7702702702702703
0.29,0.32801161103047893,0.2088724584103512,0.7635135135135135
0.295,0.33382570162481534,0.21361058601134217,0.7635135135135135
0.3,0.3333333333333333,0.21374045801526717,0.7567567567567568
0.305,0.334841628959276,0.21553398058252426,0.75
0.31,0.3378995433789954,0.2180746561886051,0.75
0.315,0.3400309119010819,0.22044088176352705,0.7432432432432432
0.32,0.3411580594679186,0.2219959266802444,0.7364864864864865
0.325,0.33962264150943394,0.22131147540983606,0.7297297297297297
0.33,0.3450479233226837,0.22594142259414227,0.7297297297297297
0.335,0.3485342019543974,0.2296137339055794,0.722972972972973
0.34,0.35139573070607555,0.23210412147505424,0.722972972972973
0.34500000000000003,0.3521594684385382,0.23348017621145375,0.7162162162162162
0.35000000000000003,0.3563025210084034,0.2371364653243848,0.7162162162162162
0.355,0.3525423728813559,0.23529411764705882,0.7027027027027027
0.36,0.35093696763202725,0.23462414578587698,0.6959459459459459
0.365,0.35213675213675216,0.23569794050343248,0.6959459459459459
0.37,0.35334476843910806,0.2367816091954023,0.6959459459459459
0.375,0.35578583765112265,0.23897911832946636,0.6959459459459459
0.38,0.356401384083045,0.23953488372093024,0.6959459459459459
0.385,0.3527336860670194,0.2386634844868735,0.6756756756756757
0.39,0.35778175313059035,0.24330900243309003,0.6756756756756757
0.395,0.36036036036036034,0.2457002457002457,0.6756756756756757
0.4,0.36363636363636365,0.24875621890547264,0.6756756756756757
0.405,0.3663003663003663,0.25125628140703515,0.6756756756756757
0.41000000000000003,0.3683241252302026,0.25316455696202533,0.6756756756756757
